Participant ID,Date,dpi,Key,Assay,Nucleic Acid,Viral Load,Viral Load Replicates,Equivocal,Sample Source,Experiment Number,,,
030-101,2018-07-23,0,91177,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5707,,,
030-101,2018-07-24,1,91289,Lanciotti_ZIKV_universal,vRNA,221.6667,[0 ; 443],Equoivical,Plasma,5715,,,
030-101,2018-07-25,2,91268,Lanciotti_ZIKV_universal,vRNA,2013.3334,[1897 ; 2130],,Plasma,5715,,,
030-101,2018-07-26,3,91269,Lanciotti_ZIKV_universal,vRNA,26083.3340,[23300 ; 28867],,Plasma,5715,,,
030-101,2018-07-27,4,91290,Lanciotti_ZIKV_universal,vRNA,133333.3300,[127333 ; 139333],,Plasma,5715,,,
030-101,2018-07-28,5,91291,Lanciotti_ZIKV_universal,vRNA,35833.3320,[34333 ; 37333],,Plasma,5715,,,
030-101,2018-07-29,6,91292,Lanciotti_ZIKV_universal,vRNA,1826.6666,[1690 ; 1963],,Plasma,5715,,,
030-101,2018-07-30,7,96571,Lanciotti_ZIKV_universal,vRNA,82.8000,[20 ; 146],,Plasma,6031,,,
030-101,2018-07-31,8,91719,Lanciotti_ZIKV_universal,vRNA,535.0000,[430 ; 640],,Plasma,5738,,,
030-101,2018-08-01,9,92464,Lanciotti_ZIKV_universal,vRNA,1025.0000,[960 ; 1090],,Plasma,5793,,,
030-101,2018-08-02,10,92465,Lanciotti_ZIKV_universal,vRNA,408.3333,[360 ; 457],,Plasma,5793,,,
030-101,2018-08-07,15,92466,Lanciotti_ZIKV_universal,vRNA,67.3333,[0 ; 135],Equoivical,Plasma,5793,,,
030-101,2018-08-10,18,92467,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5793,,,
030-101,2018-08-14,22,92468,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5793,,,
030-101,2018-08-17,25,92469,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5793,,,
030-101,2018-08-21,29,92470,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5793,,,
030-101,2018-08-24,32,92756,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,,,
030-101,2018-08-28,36,92757,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5802,,,
030-101,2018-09-06,45,93124,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5823,,,
030-101,2018-09-13,52,93568,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5843,,,
030-101,2018-09-20,59,93828,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5863,,,
030-101,2018-09-27,66,95023,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5950,,,
030-101,2018-10-04,73,94372,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5891,,,
030-101,2018-10-11,80,94597,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5906,,,
030-101,2018-10-18,87,95155,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,5956,,,
030-101,2018-10-25,94,95926,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,,,
030-101,2018-11-01,101,95927,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6008,,,
030-101,2018-11-06,106,98355,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6104,,,
030-102,2019-01-03,-4,102649,Lanciotti_Zika_assay,vRNA,0.0000,[0 ; 0],,Plasma,6362,,,
030-102,2019-01-07,0,102650,Lanciotti_Zika_assay,vRNA,0.0000,[0 ; 0],,Plasma,6362,,,
030-102,2019-01-07,0,101074,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6282,,,
030-102,2019-01-08,1,102651,Lanciotti_Zika_assay,vRNA,0.0000,[0 ; 0],,Plasma,6362,,,
030-102,2019-01-08,1,101075,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6282,,,
030-102,2019-01-09,2,102652,Lanciotti_Zika_assay,vRNA,29.3967,[22 ; 37],,Plasma,6362,,,
030-102,2019-01-10,3,102653,Lanciotti_Zika_assay,vRNA,12328.3330,[12287 ; 12370],,Plasma,6362,,,
030-102,2019-01-11,4,102654,Lanciotti_Zika_assay,vRNA,1236833.4000,[997333 ; 1476333],,Plasma,6362,,,
030-102,2019-01-12,5,102655,Lanciotti_Zika_assay,vRNA,4535000.0000,[3910000 ; 5160000],,Plasma,6362,,,
030-102,2019-01-13,6,102656,Lanciotti_Zika_assay,vRNA,95566.6640,[89767 ; 101367],,Plasma,6362,,,
030-102,2019-01-14,7,102657,Lanciotti_Zika_assay,vRNA,3953.3333,[3687 ; 4220],,Plasma,6362,,,
030-102,2019-01-15,8,102668,Lanciotti_Zika_assay,vRNA,3750.1667,[3134 ; 4367],,Plasma,6362,,,
030-102,2019-01-16,9,102669,Lanciotti_Zika_assay,vRNA,3814.6667,[3113 ; 4517],,Plasma,6362,,,
030-102,2019-01-17,10,102596,Lanciotti_ZIKV_universal,vRNA,10048.3330,[9873 ; 10223],,Plasma,6366,,,
030-102,2019-01-22,15,102597,Lanciotti_ZIKV_universal,vRNA,209.4833,[195 ; 224],,Plasma,6366,,,
030-102,2019-01-24,17,102598,Lanciotti_ZIKV_universal,vRNA,264.9667,[247 ; 283],,Plasma,6366,,,
030-102,2019-01-28,21,102599,Lanciotti_ZIKV_universal,vRNA,834.6667,[771 ; 898],,Plasma,6366,,,
030-102,2019-02-01,25,102600,Lanciotti_ZIKV_universal,vRNA,922.0000,[627 ; 1217],,Plasma,6366,,,
030-102,2019-02-04,28,102601,Lanciotti_ZIKV_universal,vRNA,341.2667,[285 ; 397],,Plasma,6366,,,
030-102,2019-02-07,31,102602,Lanciotti_ZIKV_universal,vRNA,33.5667,[27 ; 40],,Plasma,6366,,,
030-102,2019-02-11,35,102603,Lanciotti_ZIKV_universal,vRNA,186.5333,[182 ; 191],,Plasma,6366,,,
030-102,2019-02-14,38,102604,Lanciotti_ZIKV_universal,vRNA,193.0333,[177 ; 209],,Plasma,6366,,,
030-102,2019-02-21,45,105189,Lanciotti_ZIKV_universal,vRNA,134.1669,[0 ; 268],,Plasma,6448,,,
030-102,2019-02-25,49,105190,Lanciotti_ZIKV_universal,vRNA,596.6667,[450 ; 743],,Plasma,6448,,,
030-102,2019-02-28,52,105191,Lanciotti_ZIKV_universal,vRNA,90.3339,[0 ; 181],,Plasma,6448,,,
030-102,2019-03-04,56,105387,Lanciotti_ZIKV_universal,vRNA,343.0000,[146 ; 540],,Plasma,6452,,,
030-102,2019-03-07,59,105388,Lanciotti_ZIKV_universal,vRNA,129.5000,[122 ; 137],,Plasma,6452,,,
030-102,2019-03-11,63,106133,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6496,,,
030-102,2019-03-14,66,106134,Lanciotti_ZIKV_universal,vRNA,15.2133,[15 ; 16],,Plasma,6496,,,
030-102,2019-03-18,70,107019,Lanciotti_ZIKV_universal,vRNA,332.3333,[265 ; 400],,Plasma,6537,,,
030-102,2019-03-21,73,107020,Lanciotti_ZIKV_universal,vRNA,166.0000,[165 ; 167],,Plasma,6537,,,
030-102,2019-03-25,77,107021,Lanciotti_ZIKV_universal,vRNA,285.3333,[266 ; 305],,Plasma,6537,,,
030-102,2019-03-28,80,108023,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6577,,,
030-102,2019-04-01,84,108034,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6577,,,
030-102,2019-04-04,87,108035,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6577,,,
030-102,2019-04-08,91,108036,Lanciotti_ZIKV_universal,vRNA,50.5283,[24 ; 77],,Plasma,6577,,,
030-102,2019-04-11,94,109945,Lanciotti_ZIKV_universal,vRNA,0.0000,[0 ; 0],,Plasma,6650,,,
