Project,Dam ID,Gestational age,DPI,fetal heart rate,Femur_length_1,Femur_length_2,Femur_length_3,Avg Femur Length (mm),Biparietal_diameter_1,Biparietal_diameter_2,Biparietal_diameter_3,Avg Biparietal Diameter (mm),Head_circumference_1,Head_circumference_2,Head_circumference_3,Avg Head Circumfrence (mm),Abdominal_circumference_1,Abdominal_circumference_2,Abdominal_circumference_3,Avg Abdominal Circumference (mm)
mock,044-107,44,-4,198,,,,,,,,,,,,,,,,
mock,044-107,51,3,198,,,,,,,,,,,,,,,,
mock,044-107,58,10,193,6.16,6.43,,6.295,17.98,18.08,,18.03,66.42,64.64,,65.53,50.55,50.76,,50.655
mock,044-107,65,17,189,11.25,11.03,,11.14,21.83,21.79,,21.81,76.01,76.46,,76.24,61.76,60.33,,61.045
mock,044-107,72,24,178,13.3,13.03,,13.165,25.39,25.3,,25.35,92.90,91.26,,92.08,76.27,76.18,,76.225
mock,044-107,79,31,181,16.41,16.39,,16.4,27.53,27.85,,27.69,100.54,100.16,,100.35,89.75,88.38,,89.065
mock,044-107,86,38,186,19.44,19.85,,19.645,30.17,30.33,,30.25,113.59,113.43,,113.51,93.53,91.98,,92.755
mock,044-107,93,45,170,22.51,22.21,,22.36,32.27,33.03,,32.65,125.62,126.59,,126.11,100.18,99.07,,99.625
mock,044-107,101,53,178,,,,,,,,,,,,,,,,
mock,044-107,107,59,184,30.15,30.28,,30.215,38.25,36.78,,37.52,146.90,143.39,,145.15,109.14,117.93,,113.535
mock,044-107,114,66,182,31.55,31.01,,31.28,39.22,39.22,,39.22,157.60,154.11,,155.86,120.09,119.64,,119.865
mock,044-107,121,73,157,35.89,33.66,,34.775,40.93,41.09,,41.01,160.15,162.39,,161.27,113.33,116.63,,114.98
mock,044-107,128,80,176,36.93,36.91,,36.92,41.59,42.66,,42.13,166.01,166.57,,166.29,149.48,152.32,,150.9
mock,044-107,135,87,175,39.72,37.89,,38.805,43.48,43.22,,43.35,172.17,170.35,,171.26,146.68,142.57,,144.625
mock,044-107,142,94,175,,,,41.55,,,,44.65,,,,176.07,,,,141.13
mock,044-107,149,101,186,42.57,,,42.57,45.72,45.87,,45.80,173.69,172.26,,172.98,120.88,130.5,,125.69
mock,044-105,38,-4,182,,,,,,,,,,,,,,,,
mock,044-105,45,3,194,,,,,,,,,,,,,,,,
mock,044-105,52,10,205,2.57,,,2.57,12.71,,,12.71,47.19,,,47.19,39.3,,,39.3
mock,044-105,59,17,194,5.11,5.18,,5.145,16.48,17.23,,16.86,57.80,58.86,,58.33,47.26,47.1,,47.18
mock,044-105,66,24,194,8.24,8.07,,8.155,21.21,21.19,,21.20,72.67,71.64,,72.16,57.88,58.66,,58.27
mock,044-105,73,31,198,11.56,11.71,,11.635,24.49,24.56,,24.53,85.53,84.22,,84.88,70.08,72.21,,71.145
mock,044-105,80,38,191,14.4,14.69,,14.545,27.53,27.01,,27.27,96.89,96.18,,96.54,81.15,80.71,,80.93
mock,044-105,87,45,198,18.1,18,,18.05,31.22,,,31.22,114.80,114.60,,114.70,92.68,96.93,,94.805
mock,044-105,94,52,173,,,,21.3,,,,34.15,,,,123.77,,,,106.03
mock,044-105,101,59,198,24.8,25.2,,25,35.3,35.8,,35.55,133.22,131.31,,132.27,113.23,104.76,,108.995
mock,044-105,108,66,207,27.2,27.4,,27.3,36.9,36.7,,36.80,147.65,145.96,,146.81,108.51,107.56,,108.035
mock,044-105,115,73,202,30.5,30.2,,30.35,41.1,40.8,,40.95,151.05,150.21,,150.63,121.41,117.05,,119.23
mock,044-105,122,80,184,33.9,32.6,32.7,33.06666667,41.1,41,,41.05,155.66,152.31,,153.99,125.52,129.59,129.87,128.3266667
mock,044-105,129,87,214,36.4,35.6,,36,43.6,43.3,,43.45,263.03,162.33,,212.68,126.48,124.31,,125.395
mock,044-105,136,94,194,38.8,38.6,,38.7,45.7,45,,45.35,169.59,170.50,,170.05,139.82,143.8,,141.81
mock,044-105,143,101,189,39.3,39.2,41.9,40.13333333,45.8,45.1,,45.45,161.63,167.68,,164.66,138.92,142.51,,140.715
mock,044-105,150,108,191,41,41.8,41.9,41.56666667,46.8,46.6,,46.70,174.08,175.10,,174.59,146.13,137.9,,142.015
mock,044-105,154,112,189,,,,41.4,,,,46.50,,,,181.56,,,,132.52
mock,044-106,44,-4,180,,,,,,,,,,,,,,,,
mock,044-106,51,3,200,3.26,2.9,,3.08,14.04,,,14.04,48.02,,,48.02,41.9,41.37,,41.635
mock,044-106,58,10,196,6.1,6.31,,6.205,18.6,18.35,,18.48,66.40,64.56,,65.48,55.37,55.13,,55.25
mock,044-106,65,17,194,9.65,,,9.65,22.25,21.93,,22.09,77.98,77.06,,77.52,69.01,68.84,,68.925
mock,044-106,72,24,186,12.96,,,12.96,26.2,26.3,,26.25,90.38,90.80,,90.59,79,78.64,,78.82
mock,044-106,79,31,180,16.8,17.3,,17.05,28.4,28,,28.20,102.26,102.79,,102.53,91.32,94.27,,92.795
mock,044-106,86,38,184,19.3,19.6,,19.45,32.1,32.1,,32.10,114.53,114.32,,114.43,97.38,,,97.38
mock,044-106,93,45,184,22.8,22.6,,22.7,33.4,34.1,,33.75,126.53,129.06,,127.80,113.11,111.8,,112.455
mock,044-106,100,52,173,28.4,28.1,,28.25,37.2,37.8,,37.50,142.25,140.24,,141.25,120.16,118.2,,119.18
mock,044-106,107,59,178,29.1,29.4,,29.25,41,40.2,,40.60,150.85,150.48,,150.67,121.52,122.84,,122.18
mock,044-106,114,66,186,31.9,32.3,,32.1,42.1,43.6,,42.85,161.12,166.05,,163.59,131.55,138.39,,134.97
mock,044-106,121,73,188,35.5,35.5,,35.5,46.3,45.6,,45.95,174.92,172.71,,173.82,144.94,144.74,,144.84
mock,044-106,128,80,200,37.6,38.1,,37.85,47.1,45.7,47.20,46.67,175.74,170.71,176.42,174.29,150.45,147.83,,149.14
mock,044-106,135,87,189,,,,40.5,,,,47.20,,,,176.48,,,,137.13
mock,044-106,139,91,167,41.6,41.5,,41.55,49.1,48,,48.55,180.16,180.52,,180.34,146.41,148.54,,147.475
mock,044-106,149,101,,,,,,,,,,,,,,,,,
mock,044-106,156,108,165,46.6,46.1,,46.35,48.9,48.8,,48.85,190.07,191.78,,190.93,160.9,163.09,,161.995
mock,044-108,44,-4,198,,,,,,,,,,,,,,,,
mock,044-108,51,3,189,,,,,,,,,,,,,,,,
mock,044-108,58,10,202,5.5,5.5,,5.5,17.3,17.4,,17.35,59.72,60.89,,60.31,45.21,47.86,,46.535
mock,044-108,65,17,194,8.9,9.1,,9,20.4,20.7,,20.55,70.67,71.33,72.63,71.54,63.55,62.69,,63.12
mock,044-108,72,24,189,12.7,12.8,,12.75,24.1,24,,24.05,94.83,88.48,,91.66,72.52,71.8,,72.16
mock,044-108,79,31,,,,,,,,,,,,,,,,,
mock,044-108,86,38,188,18.7,19,,18.85,30.2,30.8,,30.50,110.59,111.92,,111.26,96.33,99.16,,97.745
mock,044-108,93,45,196,20.8,21.8,,21.3,31.8,31.6,,31.70,124.62,122.87,,123.75,107.49,108.67,,108.08
mock,044-108,97,49,200,23.3,24,,23.65,34.7,34.6,,34.65,131.74,134.06,,132.90,99.99,101.64,,100.815
mock,044-108,107,59,,,,,,,,,,,,,,,,,
mock,044-108,114,66,187,32.9,31.7,,32.3,39.4,40.3,,39.85,157.06,154.22,,155.64,128.8,128.98,,128.89
mock,044-108,118,70,,,,,,,,,,,,,,,,,
mock,044-108,121,73,200,32.7,33.1,,32.9,41.6,42.3,,41.95,160.85,161.72,,161.29,126.85,123.16,,125.005
mock,044-108,128,80,196,35.4,34.4,,34.9,42.8,43.2,,43.00,167.99,171.09,,169.54,137.35,130.7,,134.025
mock,044-108,135,87,207,38.6,38.6,,38.6,43.9,43.8,,43.85,171.99,169.13,,170.56,139.7,141.43,,140.565
mock,044-108,142,94,173,42.4,40.6,,41.5,45.3,45.1,,45.20,179.63,179.86,173.12,177.54,145.07,145.68,,145.375
mock,044-108,149,101,202,42.4,41.9,,42.15,46.9,47.2,,47.05,175.81,177.15,,176.48,149.47,149.32,,149.395
mock,044-108,156,108,207,45.2,45.3,,45.25,46.9,47.7,,47.30,178.89,183.74,180.17,180.93,163.76,165.79,,164.775
ZIKV-PR,044-104,39,-6,189,,,,,,,,,,,,,,,,
ZIKV-PR,044-104,46,1,211,,,,,,,,,,,,,,,,
ZIKV-PR,044-104,53,8,213,,,,,,,,,,,,,,,,
